pair,credits,seed,lock_in,hold,n_sms,rule_any,target_any,trigger_any,conseq_any
qwen x llama,0,510,0,0.25,0,0,0,0,0
qwen x llama,0,509,0,0.0,0,0,0,0,0
qwen x llama,0,500,0,0.25,0,0,0,0,0
qwen x llama,0,513,0,0.0,0,0,0,0,0
qwen x llama,0,505,0,0.3333333333333333,0,0,0,0,0
qwen x llama,0,508,0,0.16666666666666666,0,0,0,0,0
qwen x llama,0,501,0,0.4166666666666667,0,0,0,0,0
qwen x llama,0,502,0,0.25,0,0,0,0,0
qwen x llama,0,514,0,0.25,0,0,0,0,0
qwen x llama,0,507,0,0.0,0,0,0,0,0
qwen x llama,0,503,0,0.25,0,0,0,0,0
qwen x llama,0,504,0,0.4166666666666667,0,0,0,0,0
qwen x llama,0,511,0,0.0,0,0,0,0,0
qwen x llama,0,515,0,0.0,0,0,0,0,0
qwen x llama,0,506,0,0.4166666666666667,0,0,0,0,0
qwen x llama,0,512,0,0.0,0,0,0,0,0
qwen x llama,0,516,0,0.3333333333333333,0,0,0,0,0
qwen x llama,0,518,0,0.3333333333333333,0,0,0,0,0
qwen x llama,0,517,0,0.08333333333333333,0,0,0,0,0
qwen x llama,1,502,0,0.16666666666666666,2,0,1,0,0
qwen x llama,1,500,0,0.08333333333333333,2,0,1,0,0
qwen x llama,0,519,0,0.16666666666666666,0,0,0,0,0
qwen x llama,1,506,0,0.25,2,0,1,0,0
qwen x llama,1,501,0,0.08333333333333333,2,0,1,0,0
qwen x llama,1,503,0,0.08333333333333333,2,0,1,0,0
qwen x llama,1,507,0,0.08333333333333333,2,0,1,0,0
qwen x llama,1,504,0,0.08333333333333333,2,0,1,0,0
qwen x llama,1,505,0,0.0,2,0,1,0,0
qwen x llama,1,509,0,0.16666666666666666,2,0,1,0,0
qwen x llama,1,508,0,0.25,2,0,1,0,0
qwen x llama,1,510,0,0.16666666666666666,2,0,1,0,0
qwen x llama,1,511,0,0.08333333333333333,2,0,1,0,0
qwen x llama,1,513,1,1.0,2,0,1,0,0
qwen x llama,1,512,0,0.0,2,0,1,0,0
qwen x llama,1,515,0,0.3333333333333333,2,0,1,0,0
qwen x llama,1,517,1,1.0,2,0,1,0,0
qwen x llama,1,519,0,0.3333333333333333,2,0,1,0,0
qwen x llama,2,503,0,0.25,4,0,1,0,0
qwen x llama,1,514,0,0.0,2,0,1,0,0
qwen x llama,2,505,1,1.0,4,0,1,0,0
qwen x llama,2,502,0,0.0,4,0,1,1,1
qwen x llama,2,504,0,0.0,4,0,1,0,0
qwen x llama,1,518,0,0.0,2,0,1,0,0
qwen x llama,1,516,0,0.08333333333333333,2,0,1,0,0
qwen x llama,2,501,0,0.16666666666666666,4,0,1,0,0
qwen x llama,2,500,0,0.0,4,1,1,1,1
