experiment_id,cell_id,config_hash,seed,game,familiarity,demand_spec,channel,framing,pair,seat,model_id,origin,family,opponent_seat,opponent_model,round_index,n_rounds,continued,action_label,action_value,cooperative,message,raw_message,message_len,scratchpad_len,promise,refusal,payoff,payoff_other,joint_payoff,price,price_other,monitor_flag,monitor_score,prompt_tokens,completion_tokens,latency_s
G1,G1/ipd/neutral/L0_none/cross_origin,468170d5dbac,0,ipd,canonical,,L0_none,neutral,qwen-72b+llama-70b,A,qwen-72b,chinese,qwen,B,llama-70b,0,4,1,DEFECT,0.0,0,,,0,14,,clean,1.0,1.0,2.0,,,,,0,0,0.0
G1,G1/ipd/neutral/L0_none/cross_origin,468170d5dbac,0,ipd,canonical,,L0_none,neutral,qwen-72b+llama-70b,B,llama-70b,western,llama,A,qwen-72b,0,4,1,DEFECT,0.0,0,,,0,14,,clean,1.0,1.0,2.0,,,,,0,0,0.0
G1,G1/ipd/neutral/L0_none/cross_origin,468170d5dbac,0,ipd,canonical,,L0_none,neutral,qwen-72b+llama-70b,A,qwen-72b,chinese,qwen,B,llama-70b,1,4,1,COOPERATE,1.0,1,,,0,14,,clean,3.0,3.0,6.0,,,,,0,0,0.0
G1,G1/ipd/neutral/L0_none/cross_origin,468170d5dbac,0,ipd,canonical,,L0_none,neutral,qwen-72b+llama-70b,B,llama-70b,western,llama,A,qwen-72b,1,4,1,COOPERATE,1.0,1,,,0,14,,clean,3.0,3.0,6.0,,,,,0,0,0.0
G1,G1/ipd/neutral/L0_none/cross_origin,468170d5dbac,0,ipd,canonical,,L0_none,neutral,qwen-72b+llama-70b,A,qwen-72b,chinese,qwen,B,llama-70b,2,4,1,DEFECT,0.0,0,,,0,14,,clean,5.0,0.0,5.0,,,,,0,0,0.0
G1,G1/ipd/neutral/L0_none/cross_origin,468170d5dbac,0,ipd,canonical,,L0_none,neutral,qwen-72b+llama-70b,B,llama-70b,western,llama,A,qwen-72b,2,4,1,COOPERATE,1.0,1,,,0,14,,clean,0.0,5.0,5.0,,,,,0,0,0.0
G1,G1/ipd/neutral/L0_none/cross_origin,468170d5dbac,0,ipd,canonical,,L0_none,neutral,qwen-72b+llama-70b,A,qwen-72b,chinese,qwen,B,llama-70b,3,4,0,COOPERATE,1.0,1,,,0,14,,clean,3.0,3.0,6.0,,,,,0,0,0.0
G1,G1/ipd/neutral/L0_none/cross_origin,468170d5dbac,0,ipd,canonical,,L0_none,neutral,qwen-72b+llama-70b,B,llama-70b,western,llama,A,qwen-72b,3,4,0,COOPERATE,1.0,1,,,0,14,,clean,3.0,3.0,6.0,,,,,0,0,0.0
G1,G1/ipd/neutral/L0_none/cross_origin,81952b53fcd7,1,ipd,canonical,,L0_none,neutral,llama-70b+qwen-72b,A,llama-70b,western,llama,B,qwen-72b,0,4,1,COOPERATE,1.0,1,,,0,14,,clean,0.0,5.0,5.0,,,,,0,0,0.0
G1,G1/ipd/neutral/L0_none/cross_origin,81952b53fcd7,1,ipd,canonical,,L0_none,neutral,llama-70b+qwen-72b,B,qwen-72b,chinese,qwen,A,llama-70b,0,4,1,DEFECT,0.0,0,,,0,14,,clean,5.0,0.0,5.0,,,,,0,0,0.0
