experiment_id,cell_id,config_hash,seed,game,familiarity,demand_spec,channel,framing,pair,seat,model_id,origin,family,opponent_seat,opponent_model,round_index,n_rounds,continued,action_label,action_value,cooperative,message,raw_message,message_len,scratchpad_len,promise,refusal,payoff,payoff_other,joint_payoff,price,price_other,monitor_flag,monitor_score,prompt_tokens,completion_tokens,latency_s
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,0,12,1,COOPERATE,1.0,1,,,0,404,,clean,3.0,3.0,6.0,,,,,324,99,10.75
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,0,12,1,COOPERATE,1.0,1,,,0,633,,clean,3.0,3.0,6.0,,,,,274,144,5.329
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,1,12,1,DEFECT,0.0,0,,,0,622,,clean,5.0,0.0,5.0,,,,,340,149,17.121
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,1,12,1,COOPERATE,1.0,1,,,0,647,,clean,0.0,5.0,5.0,,,,,290,157,5.353
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,2,12,1,DEFECT,0.0,0,,,0,520,,clean,1.0,1.0,2.0,,,,,362,120,14.139
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,2,12,1,DEFECT,0.0,0,,,0,599,,clean,1.0,1.0,2.0,,,,,312,162,7.354
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,3,12,1,COOPERATE,1.0,1,,,0,889,,clean,0.0,5.0,5.0,,,,,383,196,26.808
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,3,12,1,DEFECT,0.0,0,,,0,1106,,clean,5.0,0.0,5.0,,,,,333,242,7.451
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,4,12,1,COOPERATE,1.0,1,,,0,783,,clean,0.0,5.0,5.0,,,,,405,188,31.215
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,4,12,1,DEFECT,0.0,0,,,0,1140,,clean,5.0,0.0,5.0,,,,,355,290,9.842
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,5,12,1,DEFECT,0.0,0,,,0,916,,clean,1.0,1.0,2.0,,,,,427,211,29.055
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,5,12,1,DEFECT,0.0,0,,,0,878,,clean,1.0,1.0,2.0,,,,,377,214,6.765
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,6,12,1,DEFECT,0.0,0,,,0,951,,clean,5.0,0.0,5.0,,,,,448,264,35.435
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,6,12,1,COOPERATE,1.0,1,,,0,1182,,clean,0.0,5.0,5.0,,,,,398,304,9.773
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,7,12,1,DEFECT,0.0,0,,,0,989,,clean,1.0,1.0,2.0,,,,,470,248,37.083
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,7,12,1,DEFECT,0.0,0,,,0,529,,clean,1.0,1.0,2.0,,,,,420,152,6.028
D1B,D1B/background/L0_none/same_origin_cn,d5039cb29571,0,ipd,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,8,12,1,DEFECT,0.0,0,,,0,988,,clean,1.0,1.0,2.0,,,,,491,215,29.328
