experiment_id,cell_id,config_hash,seed,game,familiarity,demand_spec,channel,framing,pair,seat,model_id,origin,family,opponent_seat,opponent_model,round_index,n_rounds,continued,action_label,action_value,cooperative,message,raw_message,message_len,scratchpad_len,promise,refusal,payoff,payoff_other,joint_payoff,price,price_other,monitor_flag,monitor_score,prompt_tokens,completion_tokens,latency_s
G0,G0/L0_none/self_local_14,3282984c8e55,200,ipd,canonical,,L0_none,neutral,qwen-14b-local+qwen-14b-local,A,qwen-14b-local,chinese,qwen,B,qwen-14b-local,0,20,1,COOPERATE,1.0,1,,,0,360,,clean,3.0,3.0,6.0,,,,,282,88,14.253
G0,G0/L0_none/self_local_14,3282984c8e55,200,ipd,canonical,,L0_none,neutral,qwen-14b-local+qwen-14b-local,B,qwen-14b-local,chinese,qwen,A,qwen-14b-local,0,20,1,COOPERATE,1.0,1,,,0,325,,clean,3.0,3.0,6.0,,,,,282,79,14.023
G0,G0/L0_none/self_local_14,3282984c8e55,200,ipd,canonical,,L0_none,neutral,qwen-14b-local+qwen-14b-local,A,qwen-14b-local,chinese,qwen,B,qwen-14b-local,1,20,1,COOPERATE,1.0,1,,,0,262,,clean,3.0,3.0,6.0,,,,,298,73,2.075
G0,G0/L0_none/self_local_14,3282984c8e55,200,ipd,canonical,,L0_none,neutral,qwen-14b-local+qwen-14b-local,B,qwen-14b-local,chinese,qwen,A,qwen-14b-local,1,20,1,COOPERATE,1.0,1,,,0,262,,clean,3.0,3.0,6.0,,,,,298,73,2.077
G0,G0/L0_none/self_local_14,3282984c8e55,200,ipd,canonical,,L0_none,neutral,qwen-14b-local+qwen-14b-local,A,qwen-14b-local,chinese,qwen,B,qwen-14b-local,2,20,1,COOPERATE,1.0,1,,,0,1176,,clean,3.0,3.0,6.0,,,,,321,245,6.433
G0,G0/L0_none/self_local_14,3282984c8e55,200,ipd,canonical,,L0_none,neutral,qwen-14b-local+qwen-14b-local,B,qwen-14b-local,chinese,qwen,A,qwen-14b-local,2,20,1,COOPERATE,1.0,1,,,0,564,,clean,3.0,3.0,6.0,,,,,321,129,3.399
G0,G0/L0_none/self_local_14,3282984c8e55,200,ipd,canonical,,L0_none,neutral,qwen-14b-local+qwen-14b-local,A,qwen-14b-local,chinese,qwen,B,qwen-14b-local,3,20,1,COOPERATE,1.0,1,,,0,506,,clean,0.0,5.0,5.0,,,,,344,109,3.224
G0,G0/L0_none/self_local_14,3282984c8e55,200,ipd,canonical,,L0_none,neutral,qwen-14b-local+qwen-14b-local,B,qwen-14b-local,chinese,qwen,A,qwen-14b-local,3,20,1,DEFECT,0.0,0,,,0,354,,clean,5.0,0.0,5.0,,,,,344,94,2.833
G0,G0/L0_none/self_local_14,3282984c8e55,200,ipd,canonical,,L0_none,neutral,qwen-14b-local+qwen-14b-local,A,qwen-14b-local,chinese,qwen,B,qwen-14b-local,4,20,1,COOPERATE,1.0,1,,,0,265,,clean,3.0,3.0,6.0,,,,,366,72,2.172
G0,G0/L0_none/self_local_14,3282984c8e55,200,ipd,canonical,,L0_none,neutral,qwen-14b-local+qwen-14b-local,B,qwen-14b-local,chinese,qwen,A,qwen-14b-local,4,20,1,COOPERATE,1.0,1,,,0,707,,clean,3.0,3.0,6.0,,,,,366,152,4.354
G0,G0/L0_none/self_local_14,3282984c8e55,200,ipd,canonical,,L0_none,neutral,qwen-14b-local+qwen-14b-local,A,qwen-14b-local,chinese,qwen,B,qwen-14b-local,5,20,1,COOPERATE,1.0,1,,,0,505,,clean,0.0,5.0,5.0,,,,,389,115,3.475
G0,G0/L0_none/self_local_14,3282984c8e55,200,ipd,canonical,,L0_none,neutral,qwen-14b-local+qwen-14b-local,B,qwen-14b-local,chinese,qwen,A,qwen-14b-local,5,20,1,DEFECT,0.0,0,,,0,726,,clean,5.0,0.0,5.0,,,,,389,154,4.523
