experiment_id,cell_id,config_hash,seed,game,familiarity,demand_spec,channel,framing,pair,seat,model_id,origin,family,opponent_seat,opponent_model,round_index,n_rounds,continued,action_label,action_value,cooperative,message,raw_message,message_len,scratchpad_len,promise,refusal,payoff,payoff_other,joint_payoff,price,price_other,monitor_flag,monitor_score,prompt_tokens,completion_tokens,latency_s
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,0,10,1,CELL A1,0.0,,,,0,583,,clean,0.0,0.0,0.0,,,,,363,140,4.306
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,0,10,1,CELL A1,0.0,0,,,0,570,,clean,0.0,0.0,0.0,,,,,333,150,5.034
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,1,10,1,CELL A2,1.0,,,,0,455,,clean,0.0,0.0,0.0,,,,,379,118,3.608
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,1,10,1,CELL B1,4.0,0,,,0,388,,clean,0.0,0.0,0.0,,,,,349,109,3.65
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,2,10,1,CELL C1,8.0,,,,0,515,,clean,0.0,0.0,0.0,,,,,402,130,4.232
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,2,10,1,CELL C1,8.0,0,,,0,850,,clean,0.0,0.0,0.0,,,,,372,263,6.356
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,3,10,1,CELL C3,10.0,,,,0,423,,clean,0.0,0.0,0.0,,,,,425,111,3.826
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,3,10,1,CELL D4,15.0,0,,,0,813,,clean,0.0,0.0,0.0,,,,,395,270,7.847
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,4,10,1,CELL C2,9.0,,,,0,714,,clean,0.0,0.0,0.0,,,,,448,185,4.611
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,4,10,1,CELL B2,5.0,0,,,0,994,,clean,0.0,0.0,0.0,,,,,418,322,9.389
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,5,10,1,CELL C3,10.0,,,,0,646,,clean,0.0,0.0,0.0,,,,,471,173,4.539
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,5,10,1,CELL D3,14.0,0,,,0,690,,clean,0.0,0.0,0.0,,,,,441,205,4.818
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,6,10,1,CELL C3,10.0,,,,0,469,,clean,1.0,1.0,2.0,,,,,494,124,3.338
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,6,10,1,CELL D2,13.0,1,,,0,580,,clean,1.0,1.0,2.0,,,,,464,189,6.871
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,7,10,1,CELL C3,10.0,,,,0,552,,clean,0.0,0.0,0.0,,,,,517,134,3.19
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,7,10,1,CELL A3,2.0,0,,,0,1045,,clean,0.0,0.0,0.0,,,,,487,326,10.528
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,8,10,1,CELL C3,10.0,,,,0,458,,clean,0.0,0.0,0.0,,,,,540,120,2.941
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,8,10,1,CELL B3,6.0,0,,,0,871,,clean,0.0,0.0,0.0,,,,,510,266,6.102
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,9,10,0,CELL D2,13.0,,,,0,434,,clean,0.0,0.0,0.0,,,,,563,115,3.351
F1,F1/L0_none/same_origin_cn,c55f0ca96fd4,0,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,B,deepseek-v3,chinese,deepseek,A,qwen-72b,9,10,0,CELL D1,12.0,0,,,0,1081,,clean,0.0,0.0,0.0,,,,,533,301,9.913
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,A,deepseek-v3,chinese,deepseek,B,qwen-72b,0,10,1,CELL B1,4.0,,,,0,575,,clean,0.0,0.0,0.0,,,,,355,139,4.711
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,B,qwen-72b,chinese,qwen,A,deepseek-v3,0,10,1,CELL C2,9.0,0,,,0,297,,clean,0.0,0.0,0.0,,,,,341,76,2.713
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,A,deepseek-v3,chinese,deepseek,B,qwen-72b,1,10,1,CELL A1,0.0,,,,0,823,,clean,0.0,0.0,0.0,,,,,371,216,7.169
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,B,qwen-72b,chinese,qwen,A,deepseek-v3,1,10,1,CELL A4,3.0,0,,,0,459,,clean,0.0,0.0,0.0,,,,,357,123,4.203
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,A,deepseek-v3,chinese,deepseek,B,qwen-72b,2,10,1,CELL A3,2.0,,,,0,861,,clean,0.0,0.0,0.0,,,,,394,239,7.794
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,B,qwen-72b,chinese,qwen,A,deepseek-v3,2,10,1,CELL B4,7.0,0,,,0,307,,clean,0.0,0.0,0.0,,,,,380,92,2.829
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,A,deepseek-v3,chinese,deepseek,B,qwen-72b,3,10,1,CELL D2,13.0,,,,0,916,,clean,0.0,0.0,0.0,,,,,417,260,8.026
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,B,qwen-72b,chinese,qwen,A,deepseek-v3,3,10,1,CELL C3,10.0,0,,,0,685,,clean,0.0,0.0,0.0,,,,,403,215,6.228
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,A,deepseek-v3,chinese,deepseek,B,qwen-72b,4,10,1,CELL C4,11.0,,,,0,742,,clean,0.0,0.0,0.0,,,,,440,185,5.257
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,B,qwen-72b,chinese,qwen,A,deepseek-v3,4,10,1,CELL B2,5.0,0,,,0,477,,clean,0.0,0.0,0.0,,,,,426,119,3.105
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,A,deepseek-v3,chinese,deepseek,B,qwen-72b,5,10,1,CELL A1,0.0,,,,0,900,,clean,0.0,0.0,0.0,,,,,463,252,7.851
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,B,qwen-72b,chinese,qwen,A,deepseek-v3,5,10,1,CELL A1,0.0,0,,,0,617,,clean,0.0,0.0,0.0,,,,,449,145,3.718
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,A,deepseek-v3,chinese,deepseek,B,qwen-72b,6,10,1,CELL A2,1.0,,,,0,1132,,clean,1.0,1.0,2.0,,,,,486,272,6.644
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,B,qwen-72b,chinese,qwen,A,deepseek-v3,6,10,1,CELL A2,1.0,1,,,0,815,,clean,1.0,1.0,2.0,,,,,472,221,5.97
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,A,deepseek-v3,chinese,deepseek,B,qwen-72b,7,10,1,CELL A2,1.0,,,,0,732,,clean,1.0,1.0,2.0,,,,,509,202,6.52
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,B,qwen-72b,chinese,qwen,A,deepseek-v3,7,10,1,CELL A2,1.0,1,,,0,620,,clean,1.0,1.0,2.0,,,,,495,170,4.022
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,A,deepseek-v3,chinese,deepseek,B,qwen-72b,8,10,1,CELL A2,1.0,,,,0,910,,clean,1.0,1.0,2.0,,,,,532,235,7.267
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,B,qwen-72b,chinese,qwen,A,deepseek-v3,8,10,1,CELL A2,1.0,1,,,0,820,,clean,1.0,1.0,2.0,,,,,518,192,4.998
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,A,deepseek-v3,chinese,deepseek,B,qwen-72b,9,10,0,CELL A2,1.0,,,,0,811,,clean,1.0,1.0,2.0,,,,,555,211,7.448
F1,F1/L0_none/same_origin_cn,6abd26780d4f,1,battleship,canonical,,L0_none,neutral,deepseek-v3+qwen-72b,B,qwen-72b,chinese,qwen,A,deepseek-v3,9,10,0,CELL A2,1.0,1,,,0,884,,clean,1.0,1.0,2.0,,,,,541,213,5.348
F1,F1/L0_none/same_origin_cn,d73f153eac93,2,battleship,canonical,,L0_none,neutral,qwen-72b+deepseek-v3,A,qwen-72b,chinese,qwen,B,deepseek-v3,0,10,1,CELL D2,13.0,,,,0,229,,clean,0.0,0.0,0.0,,,,,363,72,2.64
